,SMOTE&Bagging,SMOTE,Bagging,Normal
0,0.649163636,0.517745455,0.563369697,0.536242424
1,0.630815204,0.58296677,0.597932106,0.580337079
2,0.64938079,0.615387616,0.618985861,0.611477328
3,0.772342995,0.764170692,0.705506008,0.744427412
4,0.773758389,0.737779278,0.71295024,0.728199833
5,0.738429417,0.739368983,0.713644975,0.707531996
6,0.536652835,0.563231904,0.53824343,0.563531581
7,0.668232549,0.599959416,0.62290483,0.597985998
8,0.828467624,0.661559709,0.741953149,0.650579381
9,0.810603563,0.764903985,0.766322517,0.755387819
10,0.77806038,0.755469396,0.715157155,0.731141439
11,0.789859133,0.7448306,0.743128888,0.737458228
12,0.651727642,0.629268293,0.664583333,0.628794038
13,0.685228996,0.656141947,0.653412193,0.680831059
14,0.676713077,0.700910001,0.641195741,0.684671035
15,0.683168103,0.657139009,0.659127155,0.65735722
16,0.728534252,0.708132415,0.707177574,0.7101416
17,0.683271724,0.684527372,0.669785249,0.673390835
18,0.67709838,0.679265171,0.667452997,0.669674702
19,0.603231293,0.602069971,0.596355685,0.59340622
20,0.678637378,0.679041138,0.674616709,0.676245871
21,0.751799586,0.726200873,0.706600781,0.712086877
AVE,0.702053498,0.671366818,0.667291194,0.665040908
